Canton,WeekNumber,Start_date,End_date,Restaurant_shap,Bar_shap,Nightclubs_shap,Retail_shap,BarbersSalonSpa_shap,EntertainmentTheaters_shap,Schools_shap,MaskInShop_shap,TravelRestrictions_shap,TourismPotential_shap,Max,Min,AbsMax
SZ,35,August24_2020,August30_2020,0.0584977162,0.028238407,0.1567968164,0.0136049942,0.003988516,0.0278809188,0.0061842097,-0.0120222018,0.0035354004,0.0007543816,Nightclubs,MaskInShop,Nightclubs
SZ,36,August31_2020,September6_2020,0.0584977162,0.028238407,0.1567968164,0.0136049942,0.003988516,0.0278809188,0.0061842097,-0.0120222018,0.0035354004,0.0007543816,Nightclubs,MaskInShop,Nightclubs
TG,11,March9_2020,March15_2020,0.6728530508,0.4339571152,0.1699719826,0.0139737836,0.007045206,0.0284974662,0.0075893443,0.008057287,0.0136712548,0.0015938636,Restaurant,TourismPotential,Restaurant
TG,12,March16_2020,March22_2020,0.0063457506,0.0024604076,0.0116659872,0.0651624344,0.0280486416,0.0009128322,0.0002617753,0.0004171594,0.0033177102,0.0015400798,Retail,Schools,Retail
TG,13,March23_2020,March29_2020,0.0063457506,0.0024604076,0.0116659872,0.0651624344,0.0280486416,0.0009128322,0.0002617753,0.0004171594,0.0033177102,0.0015400798,Retail,Schools,Retail
TG,14,March30_2020,April5_2020,0.0063457506,0.0024604076,0.0116659872,0.0651624344,0.0280486416,0.0009128322,0.0002617753,0.0004171594,0.0033177102,0.0015400798,Retail,Schools,Retail
TG,15,April6_2020,April12_2020,0.0063457506,0.0024604076,0.0116659872,0.0651624344,0.0280486416,0.0009128322,0.0002617753,0.0004171594,0.0033177102,0.0015400798,Retail,Schools,Retail
TG,16,April13_2020,April19_2020,0.0063457506,0.0024604076,0.0116659872,0.0651624344,0.0280486416,0.0009128322,0.0002617753,0.0004171594,0.0033177102,0.0015400798,Retail,Schools,Retail
TG,17,April20_2020,April26_2020,0.0063457506,0.0024604076,0.0116659872,0.0651624344,0.0280486416,0.0009128322,0.0002617753,0.0004171594,0.0033177102,0.0015400798,Retail,Schools,Retail
TG,18,April27_2020,May3_2020,0.0006834954,0.0003053232,0,0.000105805,4.12159999999863E-006,0,1.73807999999999E-005,-0.0002239076,2.7484800000005E-005,-0.0016301482,Restaurant,TourismPotential,TourismPotential
